name,breed,color,dad_weight,available,dob,gender,mom_weight,price,puppy_id,registry,bio,age_in_weeks
Leah,German Shepherd,Black & Tan,100,I'm ready today!,28-Nov-16,Female,70,2725,490569,AKC,"""If you are looking for a beautiful girl that comes from a great bloodline, then look no further! I have many SchI, II, and III titles in my line. My great-grandpa was a six time WUSV champion border patrol dog. Others in my line are performing service and therapy dog work. I am being raised inside a home in a family environment with children and other pets, so I am well socialized. I will come home to you up to date on my vaccinations and fully vet checked. I am excited to meet you and become your new best friend!”",18
Chase,Coton de Tulear,White,10,I'm ready today!,2-Dec-16,Male,10,2875,490587,CKC,"Chase is ready to make a great appearance into your home and become part of your family! This fun boy loves to romp around with other pups and adores chasing after his toys! He is always so very happy and just simply loves life! He is a big lover boy as well, and he adores getting those oh-so-perfect belly rubs! He is up to date on vaccinations, vet exams, and is even microchipped! To make sure he has the best possible start, we will send him home with a potty training schedule, feeding chart, personalized guidebook, and many resources to help you along! Chase can't wait to jump into your arms and shower you with his many, many puppy kisses! Don't miss out!",17
Billy,French Bulldog,Brindle,22,I'm ready today!,31-Oct-16,Male,20,3850,490657,AKC,"Meet Billy! This gorgeous boy is ready to make you his new best friend. Billy is full of energy and spunk, and can’t wait to come home to you for belly rubs. He’s always ready to play and hopes you are too! He will be up to date on his vaccinations and will be vet checked from nose to tail before coming to his new home. Make Billy part of your family today; you’ll be glad you did!",22
Rugger,American Bulldog,White & Tan,130,I'm ready today!,22-Nov-16,Male,85,2250,490759,NKC,Rugger is white with tan spots on his back and over his eye. He is a pretty big puppy. He loves playing with kids and playing with his litter mates. Rugger will arrive up to date on his puppy vaccinations and vet checked. He can't wait for you to take him to the dog park to play. This little prince is one of a kind and won’t last long! Take him home today and make him your new furry family member.,19
Jake,Yorkshire Terrier,Black & Tan,5,I'm ready today!,23-Nov-16,Male,7,1595,490793,AKC,"Jake is a very playful puppy. He is the perfect romp-around friend. Jake will surely keep you on your toes with him playful nature. This perfect baby guy will come to his new loving home with a complete nose to tail vet check and arrive up to date on his vaccinations. Jake is just waiting for you to make him yours. This amazing boy will be sure to come home full of loving, puppy kisses just for you.",18
Tanner,Maltese,White,4,I'm ready today!,15-Nov-16,Male,5,3450,490884,AKC,"Sometimes the antics of a young puppy are a bit much for certain families; some people want or need an older puppy. Tanner is an older puppy. He is learning well which things are okay to chew on, and which are not. He is learning to be house trained; and when we are paying attention, there are very few accidents now (Hallelujah!). Tanner has had experience with small children, larger dogs, cats, and on our farm, ducks and chickens. He is well socialized and smart; he's learned which ducks to leave alone. Tanner is now used to vacuum noises, the sounds of the dishwasher and clothes washer. He has become a good car passenger when out on the town. Tanner is turning out to be a well adjusted, smart, curious, and brave dog. Tanner is a great companion looking for a good home.",20
Regal,Australian Shepherd,Blue Merle,50,I'm ready today!,3-Nov-16,Female,35,2250,491014,AKC,"""Hello! I'm named Regal because that is how I look. I am an active and saucy little gal. You will be so happy to have me in your family because I am so much fun. I promise to be your best friend, to snuggle with you as long as you want, and to give you tons of sweet puppy kisses. I will come to you with my vaccinations up to date, so I will be healthy and happy. Pick me! I'm super excited to meet you!""",21
Cabo,German Shepherd,Black & Red,80,I'm ready today!,29-Nov-16,Male,80,2495,491174,AKC,"Introducing Cabo! Cabo will be great with kids! He has been socialized with small children a few hours a day from the beginning, and with much larger dogs as well. He has a large head, and substantial bone structure. His personality is that of a true pure bred German Shepherd. He is extremely loyal, intelligent with a no nonsense attitude even for such a young dog which is a great sign of confidence. This cute boy promises to always be by your side as your most faithful, four-legged companion. Wouldn't you love to make Cabo yours today? Don't miss out!",18
Cadet,German Shepherd,Sable,80,I'm ready today!,29-Nov-16,Male,80,2495,491177,AKC,"Meet Cadet! This puppy will be great with kids. He has been socialized with small children a few hours a day from the beginning, and with much larger dogs as well. Cadet has a large head, and substantial bone structure. His personality is that of a true pure bred German Shepherd. He is extremely loyal, intelligent with a no nonsense attitude even for such a young dog which is a great sign of confidence. This cutie has so much love to give and he wants to share it with you. Don't miss out!",18
Cezar,German Shepherd,Sable,80,I'm ready today!,29-Nov-16,Male,80,2495,491178,AKC,"Meet Cezar! This puppy will be great with kids! Cezar has been socialized with small children a few hours a day from the beginning, and with much larger dogs as well. He has a large head, and substantial bone structure. His personality is that of a true pure bred German Shepherd. He is extremely loyal, intelligent with a no nonsense attitude even for such a young dog which is a great sign of confidence. When he arrives to your home, Cezar will have been vet checked and be up to date on his vaccinations. Don't miss out on adding this loving cuddle bug to your family! You won't regret it!",18
Chosen,German Shepherd,Black & Red,80,I'm ready today!,29-Nov-16,Male,80,2495,491207,AKC,"Say hello to Chosen. This puppy will be great with kids, he has been socialized with small children a few hours a day from the beginning and much larger dogs as well. He has a large head and substantial bone structure. His personality is that of a true purebred German Shepherd. He is extremely loyal, intelligent with a no-nonsense attitude even for such a young dog which is a great sign of confidence. Chosen is vet checked and up to date on his vaccinations so this healthy boy should be around for a long time to go on as many adventures as possible.",18
Cavalier,German Shepherd,Black & Red,80,I'm ready today!,29-Nov-16,Male,80,2495,491209,AKC,"Meet Cavalier! This puppy will be great with kids, he has been socialized with small children a few hours a day from the beginning and much larger dogs as well. He has a large head, and substantial bone structure. His personality is that of a true pure bred German Shepherd. He is extremely loyal, intelligent with a no nonsense attitude even for such a young dog which is a great sign of confidence. He will bring your family closer together with his infectious energy and warm heart. Make Cavalier and your family happier than ever.",18
Chyna,German Shepherd,Sable,80,I'm ready today!,29-Nov-16,Female,80,2495,491210,AKC,"This puppy will be great with kids, she has been socialized with small children a few hours a day from the beginning and much larger dogs as well. Chyna has substantial bone structure. Her personality is that of a true pure bred German Shepherd. She is extremely loyal, intelligent with a no nonsense attitude even for such a young dog which is a great sign of confidence. She will be happy, healthy, and ready for all that you have planned for her. She can't wait to meet you, so call about Chyna today!",18
Cicely,German Shepherd,Sable,80,I'm ready today!,29-Nov-16,Female,80,2495,491211,AKC,"This puppy will be great with kids. Cicely has been socialized with small children a few hours a day from the beginning and much larger dogs as well. She has a large head, and substantial bone structure. Her personality is that of a true pure bred German Shepherd. She is extremely loyal, intelligent, with a no-nonsense attitude even for such a young dog, which is a great sign of confidence. Cicely will be coming home to you up to date on her vaccinations and will have a full head to tail checkup. Don’t miss out on this lovable girl. She will be the perfect puppy addition to your family!",18
Dusty,Goldendoodle,Cream,7,I'm ready today!,18-Nov-16,Male,18,2495,491250,CKC,"Dusty's beautiful blue eyes will surely win your heart over. We don't have small children but we let them listen to children playing. We are also trying to teach them the stairs. Dusty's is a very loving and social puppy. He's such a sweet and gentle guy, he will give puppy kisses all day. He will be that perfect cuddle buddy that you have been looking for. He is always the first to want to lay right up with you when it’s movie and popcorn time. He will be sure to come home to you up to date on his puppy vaccinations and vet checks. He has started puppy pad training and going outdoors. Don’t let this little cuddle bug pass you by. He is just waiting for you to make him your forever baby boy.",19
Sulley,Bullmastiff,Fawn,140,I'm ready today!,21-Oct-16,Female,95,2050,491351,AKC,"Sulley was the smallest puppy in the litter. She is a unique color, a grayish, reddish, dark fawn, with markings in her coat. She is a one of a kind. She is super sweet and has been checked out by the vet. They said she was in great shape. She is up to date on her puppy vaccinations and ready for her new home. Call now and get this sweet girl coming your way!",23
Sky,Bullmastiff,Red,140,I'm ready today!,1-Oct-16,Female,95,2250,491367,AKC,"The color of this sweet little thing is fantastic. She is a rich red that really stands out. It's such a pure color. You will be in love from the moment you set eyes on her. She loves to play and loves her snuggles, but don't forget that she is a kisser! Sky will have a complete nose to tail vet check and arrive up to date on her puppy vaccinations. She’s ready to meet her new family! Hurry! Don’t let her pass you by!",26
Diamond,Rottweiler,Black & Tan,100,I'm ready today!,30-Nov-16,Female,80,2350,491371,AKC,"""Hello my name is Diamond. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all ages and other animals as well! I love to play, but I can also take a nap with you whenever you want me to. I will come up to date on my vaccinations and fully vet checked from head to tail. You’ll just want to have me in your arms all day. Oh! I just can’t wait. Make me yours today! My bags are packed and ready to go!”",17
Rose Marie,Rottweiler,Black & Tan,100,I'm ready today!,30-Nov-16,Female,80,2350,491373,AKC,"""Hello, my name is Rose Marie. I am pretty spunky and full of energy. I'm an original ball of fire. I like it when toys get tossed around and I can play fetch. I like playing with kids of all ages and other animals as well! I promise to come home up to date on my puppy vaccinations and pre-spoiled. I am a very happy, healthy puppy and I am sure I will make that perfect addition to your loving family. Make me the newest member and I will be sure to have puppy kisses waiting just for you.”",17
Markley,Rottweiler,Black & Tan,100,I'm ready today!,30-Nov-16,Male,80,2350,491374,AKC,"""Hello my name is Markley. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all ages and other animals as well! My current family tells me I will soon be ready to meet my new family. I can't wait! I've been to the vet and he said I checked out great! I also love playing with my favorite toy. Hurry! What are you waiting for? I have my bags packed and can't wait to meet my family!”",17
BentBent,Rottweiler,Black & Tan,100,I'm ready today!,30-Nov-16,Male,80,2350,491376,AKC,"""Hello, my name is BentBent. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all ages and other animals as well! Don't you want me to be the newest addition to your family? I will have a complete nose to tail vet check and my vaccinations will also be up to date. Choose me and I promise to make a lifetime of memories with you. I can't wait to leap in your arms and be yours forever!”",17
Smoochies,Rottweiler,Black & Tan,130,I'm ready today!,6-Dec-16,Male,80,2350,491415,AKC,"Meet Smoochies! He is pretty spunky and full of energy. He loves it when toys get tossed around and he can play fetch. He likes playing with kids of all ages, and other animals as well! Smoochies is quite the loving companion. He will make you wonder how you ever got along without him. He will surely make you smile with all his adorable antics. This handsome boy promises to always be by your side as your most faithful, four-legged companion. Don't miss out!",17
Doedoe,Rottweiler,Black & Tan,130,I'm ready today!,6-Dec-16,Male,80,2350,491418,AKC,"""Hello, my name is Doedoe. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all ages and other animals as well! I will be coming home with my vaccinations up to date and vet checked. I promise to be a wonderful little fur-ball. I can’t wait to go to my forever home! Well, what are you waiting for? No one can resist me!”",17
Hoss,Rottweiler,Black & Tan,130,I'm ready today!,6-Dec-16,Male,80,2350,491419,AKC,"""Hello, my name is Hoss. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all sizes and other animals as well! I love to play and I can even take a nap with you when you want. Pick me! I’m ready to share my love. I am current on my vaccinations and vet checked from head to tail, so when I see you I will be as healthy as can be.”",17
Cisely,Rottweiler,Black & Tan,130,I'm ready today!,6-Dec-16,Male,80,2350,491422,AKC,"""Hello my name is Cisely. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all sizes, and other animals as well! I am also up to date on my vaccinations and vet checked from head to tail, so when you see me I will be as healthy as can be. I will be the best friend you’ve dreamed of. Pick me! I promise you won’t regret it. I will love you, kiss you, and teach you to play so be sure to choose me today!”",17
Wally,Dachshund,Black & Tan,10,I'm ready today!,8-Dec-16,Male,9,2050,491431,UKC,"""Hello, my name is Wally. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all sizes and other animals as well! I just know that with me by your side you will never be bored. I will be your best friend for life. We will play, cuddle, and kiss as often as possible and I promise to always keep you entertained and happy. We are a match made in heaven, so make the call that brings me home!”",16
Molly,Pomsky,Black & White,10,I'm ready today!,2-Dec-16,Female,30,1475,491488,Not registered,"Molly's mother is a black and white Siberian Husky and her father is a black and tan Pomeranian. She is quite the playmate to her brothers and sisters! Once she becomes accustomed to her surroundings, she is very playful and welcomes new experiences. When she is finished playing, she loves to cuddle up on your neck and take a nap. It is hard to say no to her sweet face! She will be up to date on all necessary vaccinations and will be well-loved in preparation for her new home! Don't miss out on this pretty girl.",17
Bailey,Havanese,Black & White,7,I'm ready today!,23-Nov-16,Female,10,2395,491520,APRI,"“Hi! I’m Bailey! I’m currently searching for a good, loving home. I hope to find a family that loves to play and loves to receive puppy kisses! I’m good at giving out plenty. Whether we're playing or cuddling together, I promise to be your most loving companion. I will arrive to my new home up to date on vaccinations and pre-spoiled. I can’t wait to meet you. I have so much fun planned for us! See you soon!”",18
Candy,Labrador Retriever,Yellow,50,I'm ready today!,26-Nov-16,Female,55,2350,491523,AKC,"Candy is a very beautiful energetic puppy waiting for a good home. Imagine all the fun you'll have with this cutie. You can take her for nice walks in the park or just cuddle with her on those lazy, rainy afternoons. Candy will have a complete nose to tail vet check and arrive with a current health certificate. This cutie has so much love to give and she wants to share it with you. Don't miss out!",18
Cloe,Labrador Retriever,Yellow,50,I'm ready today!,26-Nov-16,Female,55,1950,491524,AKC,"Cloe is a very nice female just waiting to bring happiness to your family. She will make you wonder how you ever got along without her. Cloe will surely make you smile with all her adorable antics. This cutie hopes she can go home to you, so she can bring you all her love and puppy kisses. Cloe promises to always be by your side as your most faithful, four-legged companion. Wouldn't you love to make Cloe yours today? Don't miss out!",18
Phoebe,Coton de Tulear,Gray & White,8,I'm ready today!,6-Dec-16,Female,9,3025,491619,AKC,"Phoebe is a sweet girl, who is excited to be your best friend! She loves to be with people, no matter what you may be doing. From cuddling close for a late night movie, to bouncing down the street on a trip to the park, she will surely love every minute of your company! She gets along with everyone she meets and has been socialized with people of all ages! She is up to date on vaccinations, vet exams, and is even microchipped! To make sure she has the best possible start, we will send her home with a potty training schedule, feeding chart, personalized guidebook, and many resources to help you along! Give us a call now to ensure this baby girl is yours!",17
Truman,Coton de Tulear,Gray & White,8,I'm ready today!,6-Dec-16,Male,9,2875,491626,AKC,"Truman is a gorgeous boy! He loves people and is always eager to be your best bud, from a car ride to the bank to a walk to the park! He enjoys his down time as much as his play time, and toys tend to be some of his most beloved items! He is up to date on vaccinations, vet exams, and is even microchipped! To make sure he has the best possible start, we will send him home with a potty training schedule, feeding chart, personalized guidebook, and many resources to help you along! Give us a call to make sure this cutie is yours! You won't want to miss out on Truman's sweet kisses!",17
Manny,Shichon,Brown & White,9,I'm ready today!,20-Nov-16,Male,9,2050,491680,Not registered,"Meet our darling little boy, Manny! He has a wonderful personality, is great with children, and loves to play. This little boy gives the best kisses, and loves to snuggle. He will be up to date on all vaccinations, plus will be vet checked from head to toe. This darling boy is packing his bags and he can't wait to meet you. Make Manny yours fur-ever!",19
Belle,Yorkshire Terrier,Black & Tan,5,I'm ready today!,6-Dec-16,Female,9,1775,491698,CKC,"Belle is sweet and adorable. Belle will surely make you smile with all her adorable antics. This cutie hopes she can go home to you, so she can bring you all her love and puppy kisses. Belle promises to always be by your side as your most faithful, four-legged companion. Wouldn't you love to make Belle yours today? Don't miss out! You will wonder how you ever got along without her.",17
Danica,Havanese,Cream & White,9,I'm ready today!,30-Nov-16,Female,9,2095,491847,APRI,"She is a precious, perfect puppy! Meet Danica. She is the lifelong companion you’ve been looking for. She loves to be held and spoiled. When arriving to her new home, Danica will be up to date on vaccinations, vet checked, and pre-spoiled. Danica loves to cuddle and just relax while getting her belly rubbed. Hurry! She can’t wait to start sharing her love with her new family!",17
Dixie,German Shepherd,Black,110,I'm ready today!,8-Nov-16,Female,75,3075,491883,AKC,"Dixie is very playful and loves when people pet her. She can't wait to meet you. She just knows you'll love her as much as she'll love you! Dixie will arrive healthy, happy and current on vaccinations and vet checks. She is half Czech, half DDR East German and comes from some impressive champion European bloodlines. This cutie promises to bring much joy to your home. Don't miss out on making this special girl your very own. Puppy kisses are waiting!",21
Charlie Brown,French Bulldog,Chocolate Brindle,18,I'm ready today!,28-Nov-16,Male,12,3195,491959,AKC,"Come one, come all! Meet our little prince, Charlie Brown! He is definitely the puppy of your dreams. A handsome boy like this is a rare find, so don’t miss out on making him part of your family. Once he gives you the first puppy kiss, you’ll never want to let go. Wouldn’t you love to have him cuddled up with you? Charlie Brown is full of puppy love that he wants to share with you! “Let’s make some great memories together!”",18
Bo,Rottweiler,Black & Tan,130,I'm ready today!,10-Dec-16,Male,90,2350,492032,AKC,"""Hello my name is Bo. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all sizes and other animals as well! I love to be around people and you will definitely enjoy being with me! I will be up to date on my vaccinations before coming home to you, so we can play as soon as I get there. I'm very excited about meeting my new family, so please don't make me wait too long!""",16
Alice,Rottweiler,Black & Tan,130,I'm ready today!,10-Dec-16,Female,90,2350,492036,AKC,"""Hello my name is Alice. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all sizes and other animals as well! I love to be around people and you will definitely enjoy being with me! I will be checked by my vet and up to date on my puppy vaccinations, so when you bring me home, all you have to do is love me! I want to be the one for you. Will you let me shine bright for you?""",16
Eve,Rottweiler,Black & Tan,130,I'm ready today!,10-Dec-16,Female,90,2350,492037,AKC,"""Hello my name is Eve. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all sizes and other animals as well! I love to be around people and you will definitely enjoy being with me! I will surely be the talk of your town, and I an just waiting for that perfect family to call my own. Before arriving home to you I will be up to date on my vaccinations and pre-spoiled. Don't miss out on bringing me home!”",16
Bud,Rottweiler,Black & Tan,130,I'm ready today!,10-Dec-16,Male,90,2350,492039,AKC,"""Hello my name is Bud. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all sizes and other animals as well! I love to be around people and you will definitely enjoy being with me! Before arriving home to you I will be up to date on my vaccinations, vet checked and pre-spoiled. Please call about me. I can't wait to meet you!”",16
Sugar,Rottweiler,Black & Tan,130,I'm ready today!,10-Dec-16,Female,90,2350,492042,AKC,"""Hello my name is Sugar. I am pretty spunky and full of energy. I like it when toys get tossed around and I can play fetch. I like playing with kids of all sizes and other animals as well! I love to be around people and you will definitely enjoy being with me! I will arrive to my new home up to date on my vaccinations and vet checked from head to tail. Pick me, you won’t regret it!”",16
Lil Squirt,Yorkshire Terrier,Black & Tan,4,I'm ready today!,24-Nov-16,Male,5,2150,492106,AKC,"If you are looking for a handsome, sweet, happy, cuddly little boy, then Lil Squirt is your guy! Not only is he all of that, but he is also very smart and will make a very loyal lifetime companion. If you decide to take Lil Squirt home with you, he will arrive with an up to date vaccination record, a head to tail health exam, enough food for a week and microchipped for his safety. Don't miss out on this little guy! Reserve him now, before someone else wakes up to those puppy kisses every morning! PS, he will look great with a big red bow tied around his neck for the best Valentines gift ever!",18
Marshall,Golden Retriever,Light Golden,80,I'm ready today!,2-Dec-16,Male,70,3195,492214,AKC,"Meet Marshall! This lovable pup is currently searching for a good, loving home. Whether playing all day or relaxing on the couch, Marshall promises to be your most loving companion. This cutie will arrive to his new home up to date on vaccinations. Marshall can't wait to jump into your arms and shower you with his many, many puppy kisses! What are you waiting for? Make this cuddle bug yours today.",17
Copper,Miniature American Shepherd,Red Merle,25,I'm ready today!,17-Nov-16,Male,18,3025,492238,AKC,"Copper is a stunning, red merle boy with an outstanding, rare color. He is very loving and playful. His coat is soft to the touch. Just one look into those eyes and you’ll be in love. Copper loves to be spoiled, and would love nothing more than to have a family he can call his own. He loves to run around and play with all his toys, dragging them around everywhere he goes. When arriving to his new home, he’ll come up to date on vaccinations, vet checked and pre-spoiled! Hurry! Copper can’t wait to meet his new family!",19
Daisy,Rottweiler,Black & Mahogany,150,I'm ready today!,23-Dec-16,Female,100,2725,492271,AKC,"Daisy is very alert, and she shows a lot of drive. She is just a little love bug. Wouldn’t you just love to make this sweet pup yours today? Daisy is more than ready to shower you with all of the love she has to offer. Daisy will have a complete nose to tail vet check and arrive up to date on her vaccinations. Make Daisy a part of your family and you will not be able to imagine your life without her.",14
Dola,Rottweiler,Black & Mahogany,150,I'm ready today!,23-Dec-16,Female,100,2725,492272,AKC,"This is a very alert and playful puppy that will bring plenty of excitement to anybody's life. Dola is the tried and true companion that you’d be lucky to have. You can rely on Dola to always make you laugh with all the funny, little things she does. Dola will have a complete nose to tail vet check and arrive with a current health certificate. She has a very loving personality and she’s looking for a home where she will be able to share that love with you. Bring this sweet, baby girl home soon.",14
Sarah,Cavalier King Charles Spaniel,Ruby,18,I'm ready today!,10-Dec-16,Female,18,2875,492273,ACA,"Mirror, mirror, on the wall, who's the fairest one of all? Sarah is! No one can deny her beauty! She's the princess of the castle and knows it. She loves to be pampered and spoiled. Sarah is very regal and sophisticated. She knows how to act and how to win your heart! She has been seen by her vet, so her health matches her winning good looks. What more could you ask for? Call for her today! She's waiting for her fairy tale life to begin!",16
Opal,Rottweiler,Black & Mahogany,150,I'm ready today!,23-Dec-16,Female,100,2725,492283,AKC,"This puppy is a furry bundle of joy. She loves to be rubbed and petted. She is that great companion that everyone wants. Opal will have a complete nose to tail vet check and arrive up to date on her vaccinations. She’s ready to play, but most importantly ready to love you always and unconditionally. This beauty truly is a special girl, so don’t let her slip by. A lifetime of wonderful memories are waiting for you!",14
Ducky,Maltipoo,White,6,I'm ready today!,4-Dec-16,Male,7,1625,492299,Not registered,"Ducky is the inquisitive thinker of the bunch. This guy is the first to explore and try new things. Whether playing all day or relaxing on the couch, Ducky promises to be your most loving companion. This cutie will arrive to his new home up to date on vaccinations. Ducky can't wait to jump into your arms and shower you with his many, many puppy kisses! Don't miss out!",17
Remi,Poodle,Black,65,I'm ready today!,27-Nov-16,Male,45,2050,492324,ACA,Remi is a precious little guy. He is full of spirit and loves to play all day. He is happy and loving. This baby is going to make a great companion and be very loyal to his family. Remi is always doing something sweet to catch your attention and it always works! He is very sweet and I'm sure you'll fall in love with him at first sight. He will come home to you up to date on vaccinations and pre-spoiled. Don't pass up on this baby because he can't wait to meet you!,18
Maya,Poodle,Black,65,I'm ready today!,27-Nov-16,Female,45,2050,492334,ACA,Introducing Maya! This classy head turner can't wait to meet you. Maya comes from a long line of incredible dogs. Isn't she a dream? You can tell that Maya knows she is a cutie. She prances around the house like she is the queen of the castle. Maya will be sure to come home with her vaccinations up to date and the vet's stamp of approval. Don't miss out on a chance to make this little angel all yours. Puppies like this don't come around often.,18
Remmy,Boxer,Flashy Fawn,85,I'm ready today!,13-Dec-16,Female,90,1775,492340,ACA,"Remmy is an affectionate, loving little girl. She loves getting attention and when she has it, she hogs it. She likes to howl at her siblings, as if she is talking to them. It's pretty hilarious. She's a pretty curious baby. She is such a smart, delightful puppy. She has the cutest little wrinkles on her face, and she loves to give kisses. She gets along with other dogs, cats, children of all ages, and adults. Remmy will come with a health certificate, vet checked from our local vet, and pre-spoiled. She will also come with her puppy registration form with a 3 generation pedigree background.",16
Brandon,Havanese,Sable & White,12,I'm ready today!,10-Dec-16,Male,10,1550,492480,AKC,"Brandon is a real delight, he has a wonderful temperament. He is a curious little guy that loves to cuddle. He will be an outstanding part of your family. This little guy comes microchipped for his protection. He will be sure to come home to you up to date on all his puppy vaccinations and vet checks. We also send him with a care package to include a small bag of Royal Canin Mini Puppy, collar, lead, chew sticks, toy and his own blankie. Don’t miss out on the newest addition to your family. He will be sure to steal your heart away.",16
